#{"t_start": 1688603657.2760024, "env_id": null}
r,l,t
-29819,2084,64.920514
-16872,3333,332.441023
-700,3354,629.102244
-17028,3690,723.147655
-29715,2309,777.397307
-67966,2192,825.231398
-39571,3284,1425.435926
-67237,4011,1551.120133
-11173,2271,1606.456884
-79985,2271,1646.619616
-32582,2098,1797.860878
8800,2178,1838.468405
-76889,2346,2039.918406
-112998,2056,2200.606397
-55995,1867,2237.327947
-31492,2267,2328.421613
-77029,1921,2365.799234
-12337,2529,2425.588222
-58582,2072,2463.742545
-33851,2005,2495.118194
